State,District,Total,Children,Age_0_5,Age_5_17,Pincodes,Records,Child_Percent,score_children,score_coverage,score_activity,PRIORITY_SCORE
West Bengal,West Medinipur,1,1,0,1,1,1,100.0,100.0,100.0,100.0,100.0
West Bengal,South 24 Pargana,1,1,1,0,1,1,100.0,100.0,100.0,100.0,100.0
Andaman & Nicobar Islands,Nicobars,1,1,1,0,1,1,100.0,100.0,100.0,100.0,100.0
West Bengal,East Midnapur,1,1,1,0,1,1,100.0,100.0,100.0,100.0,100.0
Uttar Pradesh,Raebareli,1,1,0,1,1,1,100.0,100.0,100.0,100.0,100.0
Unknown,Unknown,13,1,0,1,1,9,7.7,100.0,100.0,99.76345357776464,100.0
Telangana,Warangal (Urban),4,4,3,1,1,3,100.0,99.99056455417518,100.0,99.94086339444115,100.0
Telangana,MedchalMalkajgiri,1,1,0,1,1,1,100.0,100.0,100.0,100.0,100.0
Tamil Nadu,Tuticorin,1,1,1,0,1,1,100.0,100.0,100.0,100.0,100.0
Tamil Nadu,Tiruvarur,1,1,1,0,1,1,100.0,100.0,100.0,100.0,100.0
Arunachal Pradesh,Pakke Kessang,3,3,2,1,1,3,100.0,99.99370970278346,100.0,99.94086339444115,100.0
Tamil Nadu,Tirupathur,4,4,4,0,1,4,100.0,99.99056455417518,100.0,99.91129509166174,100.0
Sikkim,Mangan,1,1,0,1,1,1,100.0,100.0,100.0,100.0,100.0
Puducherry,Yanam,6,6,6,0,1,6,100.0,99.98427425695864,100.0,99.8521584861029,100.0
Orissa,Nuapada,1,1,1,0,1,1,100.0,100.0,100.0,100.0,100.0
Orissa,Nabarangapur,1,1,1,0,1,1,100.0,100.0,100.0,100.0,100.0
Orissa,Subarnapur,2,2,2,0,1,2,100.0,99.99685485139173,100.0,99.97043169722058,100.0
Orissa,Sundergarh,1,1,0,1,1,1,100.0,100.0,100.0,100.0,100.0
Mizoram,Hnahthial,1,1,1,0,1,1,100.0,100.0,100.0,100.0,100.0
Arunachal Pradesh,Leparada,1,1,0,1,1,1,100.0,100.0,100.0,100.0,100.0
Nagaland,Meluri,7,6,1,5,1,6,85.7,99.98427425695864,100.0,99.8521584861029,100.0
Orissa,Baleswar,1,1,1,0,1,1,100.0,100.0,100.0,100.0,100.0
Jammu & Kashmir,Bandipur,1,1,1,0,1,1,100.0,100.0,100.0,100.0,100.0
Jammu & Kashmir,Pulwama,1,1,1,0,1,1,100.0,100.0,100.0,100.0,100.0
Maharashtra,Ahilyanagar,2,2,2,0,1,1,100.0,99.99685485139173,100.0,100.0,100.0
Jammu & Kashmir,Udhampur,1,1,1,0,1,1,100.0,100.0,100.0,100.0,100.0
Jammu & Kashmir,Kargil,2,2,2,0,1,2,100.0,99.99685485139173,100.0,99.97043169722058,100.0
Jammu & Kashmir,Srinagar,1,1,0,1,1,1,100.0,100.0,100.0,100.0,100.0
Jammu & Kashmir,Leh (Ladakh),1,1,1,0,1,1,100.0,100.0,100.0,100.0,100.0
Arunachal Pradesh,Shi-Yomi,7,7,6,1,1,5,100.0,99.98112910835037,100.0,99.88172678888232,100.0
Chhattisgarh,Mohalla-Manpur-Ambagarh Chowki,1,1,1,0,1,1,100.0,100.0,100.0,100.0,100.0
Chandigarh,Rupnagar,1,1,1,0,1,1,100.0,100.0,100.0,100.0,100.0
Goa,Bardez,1,1,1,0,1,1,100.0,100.0,100.0,100.0,100.0
Himachal Pradesh,Lahaul And Spiti,1,1,1,0,1,1,100.0,100.0,100.0,100.0,100.0
Dadra & Nagar Haveli,Dadra & Nagar Haveli,13,13,11,2,1,13,100.0,99.96225821670073,100.0,99.64518036664695,99.9
Arunachal Pradesh,Anjaw,23,23,16,7,1,11,100.0,99.93080673061802,100.0,99.70431697220579,99.9
Delhi,South East Delhi,22,20,13,7,1,14,90.9,99.94024217644284,100.0,99.61561206386753,99.9
Meghalaya,Kamrup,143,84,13,71,1,1,58.7,99.73895266551345,100.0,100.0,99.9
Orissa,Sonapur,13,13,13,0,1,12,100.0,99.96225821670073,100.0,99.67474866942638,99.9
Pondicherry,Yanam,12,12,10,2,1,9,100.0,99.96540336530902,100.0,99.76345357776464,99.9
Arunachal Pradesh,Kamle,21,21,2,19,1,9,100.0,99.93709702783457,100.0,99.76345357776464,99.9
Nagaland,Tseminyu,17,13,3,10,1,9,76.5,99.96225821670073,100.0,99.76345357776464,99.9
Delhi,Najafgarh,17,17,12,5,1,14,100.0,99.94967762226766,100.0,99.61561206386753,99.9
Mizoram,Khawzawl,24,8,3,5,2,9,33.3,99.9779839597421,99.39393939393939,99.76345357776464,99.8
Bihar,Sheikpura,13,13,5,8,2,9,100.0,99.96225821670073,99.39393939393939,99.76345357776464,99.8
Daman & Diu,Daman,3,3,3,0,2,3,100.0,99.99370970278346,99.39393939393939,99.94086339444115,99.8
